Ano,Mês,Ano Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Residencial,Industrial,Comercial,Rural,Poder Público,Iluminação Pública,Serviço Público,Consumo Próprio,Consumo,Consumo Médio,Rlin
2018,03,2018-03,12.891891891891891,144.7621621621621,976.8743528108108,21.558056054054056,8.516216216216216,2.435886378378378,473181.49499999994,20470.209,67757.601,852282.194,66185.407,766321.1730000002,478114.71599999996,60476.087,2784788.8819999998,2482008.0472361105,2486996.813441197
2018,04,2018-04,10.702702702702704,96.95135135135136,980.9396811081083,21.767675999999994,7.613513513513512,2.347185702702702,444779.804,17276.753000000004,66432.964,839553.649,63344.291,698565.251,386095.06499999994,59121.02100000001,2575168.798,2482008.0472361105,2487185.0687696906
2018,05,2018-05,13.162162162162161,109.95675675675673,982.2116870540542,16.717352513513514,7.924324324324326,2.5146479189189193,438281.9330000001,18058.839999999997,70590.736,827431.4940000001,66214.302,721214.4589999999,330628.46300000005,61617.672,2534037.8989999997,2482008.0472361105,2487373.3240981847
2018,06,2018-06,15.378378378378379,120.50810810810809,983.1208415135135,12.101225486486486,9.037837837837838,2.4644504864864865,377474.3900000001,16720.291,67604.539,794974.5829999999,57676.13999999999,713184.0729999997,302382.10800000007,57713.869,2387729.9929999993,2482008.0472361105,2487561.5794266784
2018,07,2018-07,16.243243243243242,138.86486486486487,983.0782419189189,13.13572154054054,8.562162162162162,2.740946621621622,364340.508,17256.461,68429.511,882759.9430000001,58338.08999999999,714290.9749999997,284376.0729999999,56133.416999999994,2445924.9779999997,2482008.0472361105,2487749.834755172
2018,08,2018-08,13.378378378378379,112.51351351351352,983.5804466486486,12.72818116216216,8.672972972972975,2.752922837837838,377802.64599999995,20222.021,70464.781,892343.2119999999,58458.728,716372.5959999999,284391.55199999997,59478.45900000001,2479533.9949999996,2482008.0472361105,2487938.0900836657
2018,09,2018-09,15.135135135135135,186.65945945945944,979.6064046216219,17.41856054054054,10.337837837837839,2.9769974864864865,372050.357,17057.601,68150.609,816826.8550000001,57536.939999999995,704877.6250000001,281438.973,58203.61899999999,2376142.579,2482008.0472361105,2488126.34541216
2018,10,2018-10,11.432432432432432,152.6,979.1108285675674,18.337758702702708,8.95945945945946,3.038972351351351,388101.086,17952.394,71824.409,843107.068,53929.865999999995,669235.0950000001,278643.9149999999,58414.989,2381208.822,2482008.0472361105,2488314.6007406535
2018,11,2018-11,10.18918918918919,167.87027027027025,977.6407984864865,21.149839270270263,8.681081081081082,3.0688133513513516,419118.80599999987,19032.408999999996,68648.852,798865.118,60229.185000000005,695900.5410000006,310718.77400000003,58691.596999999994,2431205.2820000006,2482008.0472361105,2488502.856069147
2018,12,2018-12,11.08108108108108,122.87567567567567,977.2425689729727,22.403110432432424,9.25945945945946,2.7596367027027027,445676.80199999997,8937.571000000002,69389.512,718997.415,64098.56200000001,721388.9580000003,395485.763,61748.91900000001,2485723.5020000003,2482008.0472361105,2488691.1113976412
